Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_pca,anomaly_vote_count
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,1.0,6
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,0.7304585088893062,4
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,0.6521181727762352,4
1244,2db89946-8e5c-3a37-802b-63e0f9d80fb1,0.0003151680290644,0.0136239782016348,3303.0,63,default,106.0,1.0,45.0,E,outlier,0.38111741085617973,2
1596,6267c784-baa1-3a82-aeb5-bf74ee70e979,0.0033930514859773,0.0351611552951025,2389.0,487,datacenter,183.0,1.0,84.0,E,outlier,0.27685123082595625,3
1602,0274e020-cf32-34dc-9bd9-521dca48e532,0.0033227659574468,0.0357446808510638,2350.0,469,datacenter,176.0,1.0,84.0,E,outlier,0.27211858126117916,3
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,0.2698370779121034,6
1666,d735b3d8-2d08-3d97-94f0-6712201696c1,0.003342287694974,0.0363951473136915,2308.0,463,datacenter,170.0,1.0,84.0,E,outlier,0.2670289395224184,3
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,0.2550938013731889,6
1633,83d6afd0-ea25-33e8-8cb3-7ec8ce294039,0.0037791912766924,0.0381644706951385,2201.0,500,datacenter,167.0,1.0,84.0,E,outlier,0.2540944967947406,3
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,0.246304977293949,6
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,0.24331217353355072,6
1626,e3af9271-2a84-3ca7-80eb-f426b97f23f7,0.0053905508072174,0.0384615384615384,2106.0,682,datacenter,154.0,1.0,81.0,E,outlier,0.2426822449723281,3
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,0.2398671045096299,6
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,0.23951613607523442,6
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,0.23264794273341433,6
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,0.2284870551967565,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,0.22840608069717916,5
1524,95f59845-64ea-3c57-a40a-e222167b0ade,0.0014321462945139,0.0192492781520692,2078.0,179,default,87.0,1.0,40.0,E,outlier,0.22655405234992665,2
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,0.22617764417986808,5
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,0.22432586102495228,6
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,0.22415069313089714,5
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,0.21429950293048453,5
1466,64409461-3cd5-3f21-bd80-8c4a029c6f38,0.0011412985630654,0.0250133049494411,1879.0,129,default,67.0,1.0,47.0,E,outlier,0.20142853834548846,2
1693,d8ac0f74-473a-32c2-b79f-d00d051ddd80,159.78385714285713,0.3571428571428571,14.0,134219,datacenter,2.0,1.0,5.0,F,outlier,0.20071515055714229,6
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,0.20001960803026525,5
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,0.1842471542097888,5
