Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_copod,anomaly_vote_count
1695,44356d09-52e9-321e-9ec1-630e582bfe53,852.92925,0.5,2.0,102352,datacenter,2.0,1.0,1.0,F,outlier,0.9999999999999999,6
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal,0.9813173763537498,6
465,1b03c230-0c7e-3f46-b408-e0c66a184bbc,9.066235714396178e-05,0.0021109444349937,15.948452336909607,704,default,8874.0,8109.0,273.0,E,normal,0.8873659824828249,6
1693,d8ac0f74-473a-32c2-b79f-d00d051ddd80,159.78385714285713,0.3571428571428571,14.0,134219,datacenter,2.0,1.0,5.0,F,outlier,0.8678694988941954,6
211,8c80788a-c0d4-37c8-87f6-7c814763bb17,7.212255444813584e-05,0.0020671834625322,17.374294510005132,587,default,8657.0,7796.0,280.0,E,normal,0.8399441445759152,6
41,c79f3548-5612-31e1-849c-d07422a77a5c,6.623176296677165e-05,0.001936178417636,15.929357563347835,495,default,8598.0,7814.0,241.0,E,normal,0.8229156215562438,6
120,714227f9-5cc3-378a-ab8f-7817db5ae84b,7.21398403058236e-05,0.0021888584024416,17.078846913255234,562,default,8434.0,7597.0,284.0,E,normal,0.7967089508569375,6
221,4ab6b86c-3c7f-35d6-9a57-c37483489428,6.542754438265439e-05,0.0024698544044425,16.79653851235302,500,default,8328.0,7569.0,314.0,E,normal,0.7873710507378006,6
1696,0ecdc692-df55-3990-815e-a30f1ee63f5f,59.243,0.8,5.0,17773,datacenter,3.0,1.0,4.0,F,outlier,0.7645689593083252,6
1292,71f7d8a9-9f50-35b3-84c7-839780fea2d7,29.826886243386245,0.0383597883597883,756.0,1352948,default,6.0,1.0,29.0,E,outlier,0.7621254425951934,4
23,90462da0-f6fb-379b-bd9d-1aec761b27a1,0.0007481497753975,0.0039693661891812,85.88874430709174,5926,default,1720.0,1537.0,524.0,E,normal,0.7538100296849274,4
184,b4177b89-59e1-323d-87c3-391f22b930f3,7.57015321608081e-05,0.0023148335505176,16.660059331175837,562,default,8189.0,7416.0,286.0,E,normal,0.7531763259228906,6
1698,2854b436-7d8b-3f2c-8139-3340ad2cd45a,66.93485714285714,0.4285714285714285,7.0,28113,datacenter,3.0,1.0,3.0,F,outlier,0.7314174659729183,5
202,1282c1a6-3d6c-32a0-b759-f89804bb63cf,7.835574260159472e-05,0.0023678243626536,16.321043288269834,562,default,8034.0,7323.0,283.0,E,normal,0.7285889834746605,5
188,5fec83a8-02a3-3b24-8217-344d5667d5a7,8.38293394061729e-05,0.0025447268084812,15.94799834915394,584,default,8047.0,7269.0,295.0,E,normal,0.7280931433866403,5
1694,3653d165-4b93-346b-9543-f1d4f5bf4831,45.603433333333335,0.8,15.0,41044,datacenter,2.0,1.0,12.0,F,outlier,0.7238243133736312,5
1494,7903be9c-c393-3fce-b027-3395dddecf57,30.854923780487805,0.0396341463414634,656.0,1214450,default,5.0,1.0,26.0,E,outlier,0.7232126659058818,4
62,b00a8232-9d49-342d-8f19-980b36d388a9,0.0006286427976686,0.0035964427402934,83.57836257309941,5391,default,1919.0,1710.0,514.0,E,normal,0.7197436325794555,4
444,05761a26-ebf9-3aad-bdb7-eb77a5ffdf46,7.730804795353893e-05,0.0019223593919828,16.923266986959504,572,default,8022.0,7285.0,237.0,E,normal,0.7149159751692022,6
215,dc964eb5-56ca-325c-bd31-fda6720d5874,6.526161473904414e-05,0.0022978281817507,16.72207684891888,476,default,7984.0,7261.0,279.0,E,normal,0.6955356306515442,5
64,3bcc9249-8bf7-3622-b0ca-1c6b265733d2,0.0008889407100798,0.004080918789716,88.41752577319588,6405,default,1516.0,1358.0,490.0,E,normal,0.6894824472882333,3
164,4d9e8716-5bf7-3588-8819-22332cbc9621,0.0007118914888328,0.0024429215637538,30.120855614973262,6015,default,5512.0,4675.0,344.0,E,normal,0.6886726695474664,5
1532,6bed6a43-8511-30c8-b660-1cff60423667,84.04507407407408,0.2777777777777778,54.0,272307,default,2.0,1.0,15.0,E,outlier,0.6885568066370369,4
92,c2d4957c-1385-33ce-b47b-1c5a56b459ca,0.0007904060567347,0.0022647426032925,29.261682242990656,6534,default,5493.0,4708.0,312.0,E,normal,0.6876973329824762,5
237,a7cf2d9e-8399-3212-ab36-e9c1dc0fe3e0,5.680046598482123e-05,0.0021072107724726,16.102344827586208,398,default,8019.0,7250.0,246.0,E,normal,0.6872060890902972,5
453,53d442e0-764d-3e00-af9f-21920664b959,0.0008653463799812,0.0021373590479166,30.201158052755737,7312,default,5471.0,4663.0,301.0,E,normal,0.6860315640356192,5
559,2d21c74a-192f-3864-958f-1b04cfe78518,0.0008396656223064,0.0018948981406739,31.37626100021464,7365,default,5415.0,4659.0,277.0,E,normal,0.6808414359190793,5
289,2b78ce8a-f40e-3e62-82de-3f8264e2b777,6.087015635622025e-05,0.0025923408112395,16.007690075449798,403,default,7613.0,6892.0,286.0,E,normal,0.6764035163890966,5
192,fa495147-17de-307a-9961-3a89f4cb26fa,6.450981853411335e-05,0.0018817304467712,16.13527731850293,416,default,7337.0,6653.0,202.0,E,normal,0.6633489579153218,5
307,c46667b4-230e-326e-91c4-ceb52e38a520,0.0007881859005905,0.0023991141732283,31.28409910993505,6151,default,5205.0,4157.0,312.0,E,normal,0.6585956686344454,5
75,87c193c4-466c-3452-a0a8-23fcdfa2ae74,0.0006907161045793,0.0041011505071812,81.27800546448087,4932,default,1605.0,1464.0,488.0,E,normal,0.655908877410763,3
381,f8b3a76e-2948-3252-b85e-fa99951ba0da,0.0007873606564795,0.0019836181798983,30.500575109270763,6264,default,5106.0,4347.0,263.0,E,normal,0.6458925647808771,4
35,b0ae8d67-517b-3f2f-980c-0f5de0ac0a63,0.0006712919889772,0.0042354483993017,78.26421636615811,4546,default,1620.0,1442.0,478.0,E,normal,0.6354794100860198,3
310,28660e09-7e96-3a2d-89d7-a90b36e6e9b0,0.0007625546889861,0.0020448925242533,30.76517922457937,5773,default,5134.0,4101.0,258.0,E,normal,0.630613299534391,4
603,ffbf4937-68e6-3d12-b817-dd3c5c14a782,6.58922914466737e-05,0.002463921154523,16.542172683413742,394,default,6842.0,6011.0,245.0,E,normal,0.6297159466140853,5
321,4862b58d-5b2b-3a3e-b917-ad4e7d24758c,0.0008935898612513,0.0025613856512343,29.44166052566937,6427,default,4749.0,4071.0,307.0,E,normal,0.6293755039633218,4
411,41b256e2-7623-3802-9c5f-5e7dbdd4447d,5.99772923762799e-05,0.0025624199243773,15.579844206426484,346,default,6713.0,6162.0,246.0,E,normal,0.62936027241146,5
583,429f155a-1c58-3437-b1f5-8538e06e8170,0.0009740273525209,0.002212696468667,28.871994342291373,7158,default,4906.0,4242.0,271.0,E,normal,0.6288105097630157,4
662,941a563b-a45d-333f-864c-416085626953,4.774875903688904e-05,0.0022038680974645,15.90011462256427,279,default,6842.0,6107.0,214.0,E,normal,0.6283632939807153,5
1233,2b0f40be-ab62-3ef1-b5c8-fdc72f9d1458,10.25305,0.2666666666666666,270.0,166100,default,2.0,1.0,72.0,E,outlier,0.6245278131294002,3
195,33f1ff34-282f-3722-838b-2da79297a581,0.0009452799412796,0.0020796803001264,29.688861985472155,6955,default,4862.0,4130.0,255.0,E,normal,0.6218823394837356,4
254,ac6e2c42-460a-30c1-ba92-a5fd2102dbca,0.0008931685283098,0.0026611576035575,30.317409766454357,6122,default,4615.0,3768.0,304.0,E,normal,0.6160256888193223,3
