Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification,score_random_forest,anomaly_vote_count
1698,2854b436-7d8b-3f2c-8139-3340ad2cd45a,66.93485714285714,0.4285714285714285,7.0,28113,datacenter,3.0,1.0,3.0,F,outlier,1.0,5
1681,c9f00080-15ca-3170-8745-44456eab7f16,0.1150952380952381,0.2222222222222222,63.0,436,datacenter,3.0,1.0,14.0,E,outlier,1.0,0
1680,d6b0cacb-bbf4-3d6a-992d-797596aa4207,0.1098730158730158,0.2222222222222222,63.0,416,datacenter,3.0,1.0,14.0,E,outlier,1.0,0
1679,ba3e9909-49dd-346a-a061-4df8e3aab77a,0.1624805194805195,0.2467532467532467,77.0,751,datacenter,3.0,1.0,19.0,E,outlier,1.0,0
1678,9bf76ecf-2743-3107-b9ce-140d70471a16,0.1097142857142857,0.2222222222222222,63.0,415,datacenter,3.0,1.0,14.0,E,outlier,1.0,0
1677,3378d420-fa76-35df-b40b-460ecc3712f9,0.1065396825396825,0.2222222222222222,63.0,403,datacenter,3.0,1.0,14.0,E,outlier,1.0,0
1676,a92ead04-79c0-3f4e-b51e-a880f7fd7b3b,0.1294444444444444,0.238095238095238,63.0,490,datacenter,3.0,1.0,15.0,E,outlier,1.0,0
1675,0c7810e2-765d-3c29-b78f-2e4169cfc268,0.1413243243243243,0.2297297297297297,74.0,628,datacenter,3.0,1.0,17.0,E,outlier,1.0,0
1674,a28a2af6-5970-3964-bfcb-705c184c2d72,0.1105,0.5,2.0,14,datacenter,2.0,1.0,1.0,E,outlier,1.0,0
1673,effc991b-5703-3677-90bb-2b723c724701,0.1345238095238095,0.238095238095238,63.0,509,datacenter,3.0,1.0,15.0,E,outlier,1.0,0
1672,f86bb6e0-b90c-3703-8510-120afb6bb497,0.005,1.0,3.0,1,datacenter,3.0,1.0,3.0,E,outlier,1.0,1
1671,2accc1be-dca0-3cd0-86d8-7e7a6fc550b5,0.2256904761904762,0.3333333333333333,42.0,569,datacenter,2.0,1.0,14.0,E,outlier,1.0,0
1670,3e7861cd-520a-33e6-bacf-43fdc1358744,0.08575,1.0,2.0,11,datacenter,2.0,1.0,2.0,E,outlier,1.0,1
1669,023c8dec-c77d-30fb-a795-e8a6c2455fd5,0.0983661971830986,0.2535211267605634,71.0,420,datacenter,3.0,1.0,18.0,E,outlier,1.0,0
1668,12f36629-cddf-30b9-a571-25e3eb789209,0.1007777777777777,0.238095238095238,63.0,381,datacenter,3.0,1.0,15.0,E,outlier,1.0,0
1667,9975af92-de64-3ad0-9cee-3cfa484f6ff0,0.1149047619047619,0.238095238095238,63.0,435,datacenter,3.0,1.0,15.0,E,outlier,1.0,0
1138,48b8c579-5d48-337c-8981-e113cda31867,0.1432936802973977,0.1635687732342007,269.0,2313,default,2.0,1.0,44.0,E,outlier,1.0,0
1137,007fa202-d51f-3619-8104-779c31c30138,0.465609375,0.234375,128.0,3576,default,2.0,1.0,30.0,E,outlier,1.0,0
1136,01c8339b-100a-3455-97e3-45c1b91b4ee2,0.02,1.0,2.0,3,default,2.0,1.0,2.0,E,outlier,1.0,0
1134,fe8dfa20-4b78-3cf2-8b49-a23e5ae0a400,0.0881,0.7,10.0,53,default,2.0,1.0,7.0,E,outlier,1.0,0
1133,f558c668-185b-3941-942e-e7ce2812ce8e,0.005,1.0,3.0,1,default,3.0,1.0,3.0,E,outlier,1.0,0
1132,a8ad1f11-bb24-3356-97af-5719e690b8c8,3.78996875,0.6875,16.0,3639,default,2.0,1.0,11.0,E,outlier,1.0,1
1129,7e1917ba-2db6-3940-8de5-d7592296fa59,0.012375,0.5833333333333334,12.0,9,default,2.0,1.0,7.0,E,outlier,1.0,0
1127,3586d9a6-3281-3c40-abdb-a813ffd3e0a7,0.0098712121212121,0.3333333333333333,66.0,40,default,18.0,1.0,22.0,E,outlier,1.0,0
1125,3d9c6ad8-9d44-3e34-80c2-b08ee790e951,0.0105,1.0,2.0,2,default,2.0,1.0,2.0,E,outlier,1.0,0
1154,12d363f6-6268-3721-9abb-f6dc9d7f006a,2.09685,0.2333333333333333,180.0,22646,default,2.0,1.0,42.0,E,outlier,1.0,0
1153,d42a2fdc-d94a-3f71-822d-7d2675bf5181,19.480412790697677,0.2674418604651162,86.0,100519,default,2.0,1.0,23.0,E,outlier,1.0,1
1152,c410340e-f994-36f6-bf05-b7f3039f5e11,0.00875,1.0,2.0,2,default,2.0,1.0,2.0,E,outlier,1.0,0
1151,28a94af2-9bac-3f99-adaf-9d991d085e12,0.0085,1.0,4.0,3,default,3.0,1.0,4.0,E,outlier,1.0,0
1149,5043161b-69a7-3533-9f9f-7a52026d279b,0.2887857142857142,0.2142857142857142,14.0,243,default,7.0,1.0,3.0,E,outlier,1.0,0
1148,89ba5d2e-d2e0-33eb-88eb-7d2cd9073544,10.012815217391305,0.2101449275362318,138.0,82907,default,4.0,1.0,29.0,E,outlier,1.0,1
1147,194fa898-9fd4-3896-aee7-0b7e13c131a7,0.3282222222222222,0.6111111111111112,18.0,355,default,3.0,1.0,11.0,E,outlier,1.0,0
1146,0f99569d-a414-3414-bfb9-60c0dc75f741,0.00225,1.0,4.0,1,default,4.0,1.0,4.0,E,outlier,1.0,0
