timestamp,pod_name,namespace,log_level,message,score_ecod,anomaly_vote_count
2025-11-06T02:50:15.180Z,auth-service-16,prod,WARN,"2025-11-06T02:50:15.180Z WARN [auth-service-16] Graceful shutdown initiated, waiting for connections to drain",1.0,3
2025-11-13T08:35:10.914Z,orders-05,staging,WARN,2025-11-13T08:35:10.914Z WARN [orders-05] User 76809 authenticated successfully,0.9808220182644378,4
2025-11-06T02:52:22.100Z,auth-service-08,staging,WARN,2025-11-06T02:52:22.100Z WARN [auth-service-08] ERROR: request timeout after 20294ms while calling db,0.9718339913536342,3
2025-11-06T02:42:18.008Z,payments-04,staging,INFO,2025-11-06T02:42:18.008Z INFO [payments-04] Loaded config from /etc/config/db.yml,0.8078139603897876,1
2025-11-13T09:49:00.940Z,payments-11,staging,INFO,2025-11-13T09:49:00.940Z INFO [payments-11] Completed 204 PUT /metrics in 205ms,0.8029257007241732,1
2025-11-13T10:28:21.291Z,backend-api-03,staging,INFO,2025-11-13T10:28:21.291Z INFO [backend-api-03] Cache hit for key=session:9133; ttl=2514s,0.7850308569285838,1
2025-11-06T04:00:28.423Z,nginx-frontend-11,prod,INFO,"2025-11-06T04:00:28.423Z INFO [nginx-frontend-11] Health check passed: ready=true, status=200",0.7728737521476201,1
2025-11-13T08:40:17.210Z,payments-05,dev,INFO,2025-11-13T08:40:17.210Z INFO [payments-05] Background job cleanup completed in 111ms,0.7666688118238785,1
2025-11-11T14:46:28.594Z,orders-02,staging,WARN,2025-11-11T14:46:28.594Z WARN [orders-02] ERROR: Segmentation fault (core dumped) in worker thread,0.7590389058844687,8
2025-11-12T02:44:51.724Z,orders-09,staging,WARN,2025-11-12T02:44:51.724Z WARN [orders-09] ERROR: OOMKilled - process terminated due to out-of-memory,0.7587676550133022,7
2025-11-13T09:41:57.226Z,nginx-frontend-15,dev,INFO,2025-11-13T09:41:57.226Z INFO [nginx-frontend-15] Background job report-generator completed in 24ms,0.7572460629223554,1
2025-11-06T04:02:55.631Z,backend-api-01,dev,INFO,"2025-11-06T04:02:55.631Z INFO [backend-api-01] Graceful shutdown initiated, waiting for connections to drain",0.7558774806518755,1
2025-11-06T02:25:39.510Z,backend-api-15,dev,INFO,2025-11-06T02:25:39.510Z INFO [backend-api-15] Cache hit for key=session:1255; ttl=1889s,0.7494997440606535,1
2025-11-06T02:53:33.574Z,orders-07,prod,INFO,2025-11-06T02:53:33.574Z INFO [orders-07] Opening database transaction; connection_id=2861,0.7444855501449963,1
2025-11-13T09:36:01.811Z,payments-05,prod,INFO,2025-11-13T09:36:01.811Z INFO [payments-05] Opening database transaction; connection_id=7504,0.7426843833317143,1
2025-11-13T09:33:39.169Z,backend-api-08,staging,INFO,2025-11-13T09:33:39.169Z INFO [backend-api-08] Established connection to upstream payments.internal:9000,0.7297291303685451,1
2025-11-06T01:38:07.600Z,payments-11,prod,WARN,2025-11-06T01:38:07.600Z WARN [payments-11] ERROR: OOMKilled - process terminated due to out-of-memory,0.7259928459472276,6
2025-11-13T08:55:56.299Z,auth-service-09,dev,INFO,2025-11-13T08:55:56.299Z INFO [auth-service-09] Established connection to upstream inventory.internal:8080,0.7243374533532563,1
2025-11-06T00:36:27.125Z,orders-12,prod,WARN,2025-11-06T00:36:27.125Z WARN [orders-12] ERROR: ImagePullBackOff: failed to pull image myorg/auth:0.9.8,0.7214799006672243,7
