v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_isolation_forest,anomaly_vote_count,GERCEK_ETIKET_label
-6.92,-0.56,7.18,-1.27,3.36,0.12,72.59,2.95,-60.5,-29.74,65.81,1.0,5.0,0
-6.11,-1.28,7.55,-1.34,3.43,0.02,72.59,2.95,-60.5,-28.85,66.88,0.9823075336275304,5.0,0
-6.11,-1.28,7.55,-1.34,3.43,0.02,72.59,2.95,-60.5,-27.66,68.57,0.9785044165566654,5.0,0
-7.56,0.1,8.36,-1.15,3.14,0.22,72.59,2.95,-60.5,-31.69,63.46,0.9720185191932356,5.0,0
-10.49,5.69,-0.87,2.87,-3.48,0.17,44.64,-31.09,-2.5,-66.64,89.41,0.9701635245199949,6.0,0
-5.68,-1.35,8.83,-1.44,3.47,-0.08,83.43,-40.4,-108.35,-23.54,73.92,0.9660633747892047,5.0,0
-9.51,-3.45,7.31,-2.97,4.3,-0.2,39.22,-6.0,-41.0,-44.04,32.38,0.966029616561677,6.0,0
-6.92,-0.56,7.18,-1.27,3.36,0.12,72.59,2.95,-60.5,-30.74,64.55,0.9640367725626049,5.0,0
-10.58,4.29,0.66,3.02,-3.73,0.14,44.64,-31.09,-2.5,-67.26,87.27,0.963247006503355,6.0,0
-9.66,-3.69,3.67,-2.99,4.13,-0.24,39.22,-6.0,-41.0,-44.48,29.31,0.9628387736375004,6.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.97,0.9625071311122853,6.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.2,-44.54,0.9604810363371401,6.0,0
-5.5,-0.9,8.06,-1.52,3.37,-0.18,83.43,-40.4,-108.35,-19.85,78.55,0.9593579068306521,6.0,0
-5.5,-0.9,8.06,-1.52,3.37,-0.18,83.43,-40.4,-108.35,-21.54,76.51,0.9591710619989786,6.0,0
-12.52,-1.85,8.27,-3.16,5.83,0.56,67.01,8.15,-7.62,-60.91,19.2,0.9590982836719593,6.0,0
7.16,-11.75,-13.83,1.43,-1.9,-2.58,-25.19,31.9,23.51,51.77,-64.1,0.9582555817382972,6.0,0
-0.2,-17.96,-26.96,2.15,-3.69,-1.47,-42.1,17.38,46.33,5.21,-44.31,0.9577665418059998,6.0,0
1.32,-16.74,-26.48,1.9,-2.88,-1.58,-42.1,17.38,46.33,5.02,-38.92,0.9569456608576877,6.0,0
-12.01,-1.77,8.03,-3.21,5.29,0.65,67.01,8.15,-7.62,-61.51,14.8,0.9564182693255336,6.0,0
0.0,-21.51,-3.8,-0.83,3.05,0.8,-4.18,34.05,10.81,32.55,-27.87,0.9558547610566837,6.0,0
1.09,-20.38,-14.49,-0.84,2.48,1.07,-4.18,34.05,10.81,32.81,-27.16,0.9555771448184445,6.0,0
-8.15,6.01,8.59,0.02,-1.11,-0.47,41.76,-32.88,-1.47,-55.91,104.47,0.9539433118397027,5.0,0
