Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,score_hbos,anomaly_vote_count
11380,f6fe715c-2667-303d-a159-2d794705e572,0.0249920382165605,0.2197452229299363,314.0,471,private_ip,outlier,outlier,10.0,1.0,69.0,E,1.0000000000000002,5
3950,4f60c2e6-2e56-36bf-8836-f56770f6c21a,35.565704918032786,0.3333333333333333,183.0,390512,private_ip,outlier,outlier,1.0,1.0,61.0,E,0.9755221475949796,5
1360,79090920-d7b0-3553-8ba9-817dda4df452,1.4861052631578948,0.631578947368421,19.0,1695,google_bot,outlier,outlier,1.0,1.0,12.0,E,0.9493544719917013,3
16486,ccc10b0f-29aa-389a-a495-5613382c25e8,1.8847006651884705e-05,0.0210643015521064,902.0,2,private_ip,outlier,outlier,701.0,1.0,19.0,E,0.9314419207884528,5
8643,81523c6a-9e68-37c4-814b-161be06bf600,2.86368843069874e-05,0.0263459335624284,873.0,2,private_ip,outlier,outlier,669.0,1.0,23.0,E,0.9314419207884528,5
16373,7d56e99d-5bcf-310f-8aa8-4dda908e9e4a,24.30963402061856,0.2319587628865979,194.0,282965,private_ip,outlier,outlier,1.0,1.0,45.0,E,0.9252887657239717,4
16157,e55ad05c-c50e-39ac-8811-f2addf93b723,25.638413612565444,0.2460732984293193,191.0,293817,private_ip,outlier,outlier,1.0,1.0,47.0,E,0.9252887657239717,4
16760,36e8e668-5033-37fb-88d5-75312c342997,4.712011235955056,0.5280898876404494,89.0,25163,private_ip,outlier,outlier,1.0,1.0,47.0,E,0.925047497347085,3
19794,c6f29ac0-bb75-3f61-901d-54f746a5f9aa,0.0025801033591731,0.0111972437553832,2322.0,360,private_ip,outlier,outlier,106.0,1.0,26.0,F,0.9249978791576714,5
20507,4dcf851a-0257-3af0-9f37-4518b6cde29b,0.02219,0.0192307692307692,1300.0,1731,private_ip,outlier,outlier,61.0,1.0,25.0,F,0.924669956268892,5
1034,e8078de3-909b-39f8-b2a8-9ec9627ee4e7,28.20842,0.2,200.0,338502,private_ip,outlier,outlier,1.0,1.0,40.0,E,0.9235502043611239,4
27450,05dc072b-b1cf-3c6a-9d15-5c70956fbdb2,0.0545025817555938,0.0413080895008605,581.0,1900,private_ip,outlier,outlier,25.0,1.0,24.0,F,0.9229100918287829,5
23811,25dabbfc-bd81-3768-ab5c-72b356654118,0.3099343434343434,0.0488215488215488,594.0,11047,private_ip,outlier,outlier,16.0,1.0,29.0,F,0.9229100918287829,4
22028,cceaf493-8c70-3a1a-b74a-8b0ea751e319,0.1238858156028368,0.0411347517730496,705.0,5241,private_ip,outlier,outlier,28.0,1.0,29.0,F,0.9229100918287829,5
25468,70182d22-0cd5-3346-9108-7d54fd2cc410,0.073778534923339,0.0340715502555366,587.0,2599,private_ip,outlier,outlier,29.0,1.0,20.0,F,0.9229100918287829,5
32852,3c1d272a-ab46-3ba9-9c1c-a9cc3071bd29,0.0468966836734693,0.0293367346938775,784.0,2207,private_ip,outlier,outlier,33.0,1.0,23.0,F,0.9229100918287829,5
21685,4fe2ca9b-2f83-33cd-aa2b-8f3e02b0c459,0.0035785024154589,0.0301932367149758,828.0,178,private_ip,outlier,outlier,39.0,1.0,25.0,F,0.9229100918287829,5
20468,decfe046-b80c-315e-a13f-d9ede4b841cc,0.5372367601246105,0.0623052959501557,321.0,10348,private_ip,outlier,outlier,15.0,1.0,20.0,F,0.919025930582597,4
20900,0d6845a8-c2e9-3372-b8d6-d37461ab3652,0.3420079365079365,0.0767195767195767,378.0,7757,private_ip,outlier,outlier,16.0,1.0,29.0,F,0.919025930582597,4
24446,c0ebdf5e-2f1b-3836-99a8-3c508bb1385a,0.2023977528089887,0.049438202247191,445.0,5405,private_ip,outlier,outlier,19.0,1.0,22.0,F,0.919025930582597,4
19605,713cbdbf-e3d7-3422-9b06-d1f03d06a7fa,0.3220876963350785,0.0654450261780104,382.0,7383,private_ip,outlier,outlier,16.0,1.0,25.0,F,0.919025930582597,4
31553,71845c4a-f739-3241-a8d2-1f91088a8469,0.2873679245283019,0.0754716981132075,318.0,5483,private_ip,outlier,outlier,15.0,1.0,24.0,F,0.919025930582597,4
31113,3f8de0e5-2891-3c40-823d-1382c07f7f76,0.2289938650306748,0.0674846625766871,326.0,4480,private_ip,outlier,outlier,15.0,1.0,22.0,F,0.919025930582597,4
20649,059ba3c3-2a1e-307d-b5b8-ca834dd27c12,0.4434757281553398,0.0744336569579288,309.0,8223,private_ip,outlier,outlier,12.0,1.0,23.0,F,0.919025930582597,3
27226,52ea44c0-ee0f-3e9d-8551-e61b101eca09,0.6908980263157894,0.0921052631578947,304.0,12602,private_ip,outlier,outlier,11.0,1.0,28.0,F,0.919025930582597,4
26225,c4d20459-4a81-3301-8131-7c56c62e238e,0.1773475728155339,0.0446601941747572,515.0,5481,private_ip,outlier,outlier,21.0,1.0,23.0,F,0.919025930582597,4
28013,a619ecbf-735d-30f4-987d-348e7d6658b7,0.4505620253164556,0.0582278481012658,395.0,10679,private_ip,outlier,outlier,19.0,1.0,23.0,F,0.919025930582597,4
34146,71307d0c-8c5e-3d4f-9f03-f2edef27b6f2,0.1983466076696165,0.0648967551622418,339.0,4035,private_ip,outlier,outlier,14.0,1.0,22.0,F,0.919025930582597,4
21277,821a754b-7730-37f1-9934-58a916a72cbf,0.0360847280334728,0.0397489539748954,478.0,1035,private_ip,outlier,outlier,24.0,1.0,19.0,F,0.919025930582597,5
27759,b449448b-b121-3dce-9a3c-3f96ad9d32f2,0.1970921610169491,0.0466101694915254,472.0,5582,private_ip,outlier,outlier,20.0,1.0,22.0,F,0.919025930582597,4
662,af9660ad-6af0-39e4-87cf-6782b0a5f3b1,2.0526550647032576e-05,0.0151717983043284,2241.0,3,private_ip,outlier,outlier,111.0,1.0,34.0,E,0.9173368547156961,5
1270,87b43763-03de-3152-a052-67b97776f340,2.8037383177570094e-05,0.0161993769470405,1605.0,3,private_ip,outlier,outlier,103.0,1.0,26.0,E,0.9172253809434208,5
13894,ba176141-b5d9-31b5-a55a-0905f7f5ef91,0.0282707112970711,0.0234309623430962,1195.0,2028,private_ip,outlier,outlier,1.0,1.0,28.0,E,0.9170089318269166,5
9901,c029d1d9-12a9-3159-b9f5-b01d2ed45888,0.105788767812238,0.0268231349538977,1193.0,7573,private_ip,outlier,outlier,1.0,1.0,32.0,E,0.9170089318269166,5
7520,3c348d6d-ef57-3e31-8024-ffdf8b4fae28,3.247232472324723e-05,0.018450184501845,1355.0,3,private_ip,outlier,outlier,92.0,1.0,25.0,E,0.9170089318269166,5
11902,a17e41d0-79a7-38dc-8083-67f4cc138ef3,1.0620962025316456,0.0810126582278481,395.0,25172,private_ip,outlier,outlier,1.0,1.0,32.0,E,0.9113649061406215,3
16639,98cf7f2c-fc47-3a22-92d4-dc9679d461ca,10.30415652173913,0.4782608695652174,115.0,71099,private_ip,outlier,outlier,1.0,1.0,55.0,E,0.9061156812640456,3
