Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,score_isolation_forest,anomaly_vote_count
2135,9c2049c6-7b37-3601-b78c-5b268c83e779,1.5832805573147563e-05,0.0044331855604813,1579.0,2,private_ip,outlier,outlier,1364.0,1.0,7.0,E,1.0,5
15443,1a1c2722-61bc-370e-bf44-5e9c4c3a2770,1.86706497386109e-05,0.0074682598954443,1339.0,2,private_ip,outlier,outlier,1142.0,1.0,10.0,E,0.9983084706748728,5
7598,f90bff13-cf5f-3d49-add5-0806b5753460,1.607717041800643e-05,0.0057877813504823,1555.0,2,private_ip,outlier,outlier,1148.0,1.0,9.0,E,0.9983084706748728,5
6966,e7d0cdae-4a93-3f23-a73d-614a9827d962,1.730103806228374e-05,0.0062283737024221,1445.0,2,private_ip,outlier,outlier,1086.0,1.0,9.0,E,0.9983084706748728,5
13645,e27bbb76-d19c-3a2b-8a7a-a45716a9bdbc,1.6423357664233576e-05,0.0048661800486618,1644.0,2,private_ip,outlier,outlier,1070.0,1.0,8.0,E,0.9974692668259781,5
5588,28bae9ea-c0c5-30bc-83fb-65ca5019e92a,1.9765739385065887e-05,0.0058565153733528,1366.0,2,private_ip,outlier,outlier,1193.0,1.0,8.0,E,0.9968371184325564,5
17705,1b414fac-ce1e-37ac-b07f-9e2486db8db4,1.990049751243781e-05,0.005685856432125,1407.0,2,private_ip,outlier,outlier,1228.0,1.0,8.0,E,0.9968371184325564,5
7200,763e51b2-06ea-3d53-aea2-143b55af0cb6,1.771117166212534e-05,0.0054495912806539,1468.0,2,private_ip,outlier,outlier,1068.0,1.0,8.0,E,0.9968371184325564,5
5630,b1b2bcf9-adb7-3e02-960e-58f8cd91b0e3,1.948051948051948e-05,0.0057720057720057,1386.0,2,private_ip,outlier,outlier,1202.0,1.0,8.0,E,0.9968371184325564,5
15688,d0921e71-d3c7-3298-b075-7949908a33b8,2.1455938697318007e-05,0.0053639846743295,1305.0,2,private_ip,outlier,outlier,1141.0,1.0,7.0,E,0.9962051838544428,5
14418,34ebc2dc-5ae1-3727-9368-440eb349f73f,1.9984012789768184e-05,0.005595523581135,1251.0,2,private_ip,outlier,outlier,1060.0,1.0,7.0,E,0.9962051838544428,5
10531,ed75a55c-bfb0-3b22-a121-49ec0d6f8876,2.0202020202020203e-05,0.0062160062160062,1287.0,2,private_ip,outlier,outlier,1089.0,1.0,8.0,E,0.9955734630193172,5
16171,08d225f8-6723-3fa4-8e1c-0e7d0b3c0f38,1.902587519025875e-05,0.0060882800608828,1314.0,2,private_ip,outlier,outlier,1134.0,1.0,8.0,E,0.9955734630193172,5
15755,ad776986-2c00-384c-9208-b36b1b836256,1.9623875715453804e-05,0.0065412919051512,1223.0,2,private_ip,outlier,outlier,1051.0,1.0,8.0,E,0.9930487156631478,5
12875,6c571a82-19c0-3b49-9934-b64cce582729,2.168473728106756e-05,0.006672226855713,1199.0,2,private_ip,outlier,outlier,1014.0,1.0,8.0,E,0.9880094586597366,5
9907,dc576722-dad1-36d6-bfaf-36fb2bf45b57,2.155172413793104e-05,0.0060344827586206,1160.0,2,private_ip,outlier,outlier,989.0,1.0,7.0,E,0.9848668415396047,5
12379,ef4b0c9e-8a65-39ee-932a-5054f164aafd,2.220248667850799e-05,0.0062166962699822,1126.0,2,private_ip,outlier,outlier,933.0,1.0,7.0,E,0.9817295355557467,5
4954,612a4555-7093-3c03-9d89-2f5a51a2f585,2.378774016468436e-05,0.0091491308325709,1093.0,2,private_ip,outlier,outlier,934.0,1.0,10.0,E,0.9800545198458455,5
3221,f267d608-cbac-310d-b32e-3e05984d9c6c,2.266545784224841e-05,0.0072529465095194,1103.0,2,private_ip,outlier,outlier,920.0,1.0,8.0,E,0.9779717664378413,5
10550,26c57b3e-04b5-3198-bf72-6f1883f1d94b,2.354048964218456e-05,0.0065913370998116,1062.0,2,private_ip,outlier,outlier,878.0,1.0,7.0,E,0.9760957402064663,5
5883,bd238783-3989-3b96-bc0c-7dde1ce3084b,2.205882352941177e-05,0.0073529411764705,1088.0,2,private_ip,outlier,outlier,896.0,1.0,8.0,E,0.9754708211079732,5
10287,2a6237a8-0394-31d4-b176-f00370bde4e0,1.802656546489564e-05,0.0066413662239089,1054.0,2,private_ip,outlier,outlier,863.0,1.0,7.0,E,0.9748461133795804,5
12841,fca53020-66d3-3325-8a23-13499f4bc1e1,1.0358565737051793e-05,0.0063745019920318,1255.0,1,private_ip,outlier,outlier,657.0,1.0,8.0,E,0.9729732577001966,5
11610,91810fa8-c2c6-3cb2-968d-20abfba25757,1.976284584980237e-05,0.0069169960474308,1012.0,2,private_ip,outlier,outlier,817.0,1.0,7.0,E,0.9673660815074561,5
7031,bbb8be8e-1e65-304e-995a-45f352f54be9,2.33739837398374e-05,0.0071138211382113,984.0,2,private_ip,outlier,outlier,802.0,1.0,7.0,E,0.9605360096459251,5
3185,677cf61f-c097-36d3-bc48-8997fb99782f,1.7293997965412005e-05,0.0071210579857578,983.0,2,private_ip,outlier,outlier,781.0,1.0,7.0,E,0.9605360096459251,5
12891,926255c3-7355-3a89-8872-4d3e4d3407fa,1.1330049261083744e-05,0.0078817733990147,1015.0,1,private_ip,outlier,outlier,628.0,1.0,8.0,E,0.958677669630001,5
3473,dfd78806-b354-33ee-972e-e2fdef3b7736,2.1852237252861603e-05,0.0072840790842872,961.0,2,private_ip,outlier,outlier,785.0,1.0,7.0,E,0.9574398236454742,5
12736,e7cda4dc-2d1b-3d9a-940f-9460030c2112,2.014846235418876e-05,0.0074231177094379,943.0,2,private_ip,outlier,outlier,752.0,1.0,7.0,E,0.9562028148873412,5
669,c5c670f5-3c00-3609-bd8e-2ea29890e74d,1.808510638297872e-05,0.0085106382978723,940.0,2,private_ip,outlier,outlier,755.0,1.0,8.0,E,0.9555846242911994,5
4565,b4f56ee1-d084-3376-8cd7-703f8fe8c468,2.7262813522355503e-05,0.0076335877862595,917.0,2,private_ip,outlier,outlier,739.0,1.0,7.0,E,0.9512631407991987,5
34333,eb0d9697-da49-3ffb-9f8d-ce0fab981a23,840.8206153846154,0.0256410256410256,39.0,1967521,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.9500944007690634,5
13515,10767265-a051-3b8a-b243-f7e511a66d72,1.5625e-05,0.0100446428571428,896.0,1,private_ip,outlier,outlier,707.0,1.0,9.0,E,0.9488719794701957,5
2362,49b1f4f2-84a9-3860-b4bd-99ef60e0349e,1.945080091533181e-05,0.0080091533180778,874.0,2,private_ip,outlier,outlier,707.0,1.0,7.0,E,0.9468243025214201,5
15466,6aaf0c5c-716a-353b-97db-f27bd003ebb4,1.5819209039548023e-05,0.0090395480225988,885.0,1,private_ip,outlier,outlier,681.0,1.0,8.0,E,0.944979871176585,5
16486,ccc10b0f-29aa-389a-a495-5613382c25e8,1.8847006651884705e-05,0.0210643015521064,902.0,2,private_ip,outlier,outlier,701.0,1.0,19.0,E,0.9443595886011398,5
8643,81523c6a-9e68-37c4-814b-161be06bf600,2.86368843069874e-05,0.0263459335624284,873.0,2,private_ip,outlier,outlier,669.0,1.0,23.0,E,0.9437454038098075,5
23591,c3367779-e611-3b81-9313-88921cc31708,848.9697419354839,0.032258064516129,31.0,1579084,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.943397363034483,5
8254,503d2ac7-e145-3408-a0af-ca733f5f5343,2.7577937649880093e-05,0.0071942446043165,834.0,2,private_ip,outlier,outlier,644.0,1.0,6.0,E,0.9431373107577175,5
16190,5381cd54-1e42-3f28-82e0-5f2851501ba7,1.9024970273483943e-05,0.0083234244946492,841.0,1,private_ip,outlier,outlier,648.0,1.0,7.0,E,0.9412966193670165,5
4375,c20b2bff-77e9-3f8d-a772-0d1171bb3941,1.5931372549019605e-05,0.0073529411764705,816.0,1,private_ip,outlier,outlier,623.0,1.0,6.0,E,0.9406834705819711,5
180,0cbb32e4-37f8-3cf9-8126-21d468551d50,1.717791411042945e-05,0.0085889570552147,815.0,1,private_ip,outlier,outlier,617.0,1.0,7.0,E,0.9382329486300182,5
1957,9eca0d35-a692-3540-8bed-83643cfa655a,1.86799501867995e-05,0.0087173100871731,803.0,1,private_ip,outlier,outlier,624.0,1.0,7.0,E,0.9382329486300182,5
7956,e1efb3d9-d0bc-3e6d-bb32-cae72b6def09,1.6049382716049385e-05,0.0086419753086419,810.0,1,private_ip,outlier,outlier,620.0,1.0,7.0,E,0.9382329486300182,5
6711,f82366c6-4544-360d-bebe-2a0693cef9ed,1.845018450184502e-05,0.008610086100861,813.0,1,private_ip,outlier,outlier,620.0,1.0,7.0,E,0.9382329486300182,5
3313,31b3a7b8-7e1a-3470-a175-c5a459313442,2.6927784577723375e-05,0.0085679314565483,817.0,2,private_ip,outlier,outlier,628.0,1.0,7.0,E,0.9376208360885332,5
16070,0e9524b9-3fb7-34bd-84a1-66b33d4260e5,3.172588832487309e-05,0.0101522842639593,788.0,2,private_ip,outlier,outlier,633.0,1.0,8.0,E,0.936397232050923,5
19794,c6f29ac0-bb75-3f61-901d-54f746a5f9aa,0.0025801033591731,0.0111972437553832,2322.0,360,private_ip,outlier,outlier,106.0,1.0,26.0,F,0.9340844224474858,5
20191,725690f1-0072-30ad-a894-ae178042489e,816.8762857142857,0.0357142857142857,28.0,1372353,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.9328045341954193,5
30784,7aaa757e-6372-35ef-897f-08724d737533,579.3909583333334,0.0208333333333333,48.0,1668646,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.9214732693095153,5
21364,90b1ff84-2bae-3010-a0ed-1147aa7f9461,595.6877619047619,0.0238095238095238,42.0,1501134,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.9190487244964034,5
