Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,score_ecod,anomaly_vote_count
2135,9c2049c6-7b37-3601-b78c-5b268c83e779,1.5832805573147563e-05,0.0044331855604813,1579.0,2,private_ip,outlier,outlier,1364.0,1.0,7.0,E,1.0,5
13645,e27bbb76-d19c-3a2b-8a7a-a45716a9bdbc,1.6423357664233576e-05,0.0048661800486618,1644.0,2,private_ip,outlier,outlier,1070.0,1.0,8.0,E,0.9449167809112669,5
7598,f90bff13-cf5f-3d49-add5-0806b5753460,1.607717041800643e-05,0.0057877813504823,1555.0,2,private_ip,outlier,outlier,1148.0,1.0,9.0,E,0.9262293972053206,5
17705,1b414fac-ce1e-37ac-b07f-9e2486db8db4,1.990049751243781e-05,0.005685856432125,1407.0,2,private_ip,outlier,outlier,1228.0,1.0,8.0,E,0.9188657869358143,5
5630,b1b2bcf9-adb7-3e02-960e-58f8cd91b0e3,1.948051948051948e-05,0.0057720057720057,1386.0,2,private_ip,outlier,outlier,1202.0,1.0,8.0,E,0.9157643379718152,5
7200,763e51b2-06ea-3d53-aea2-143b55af0cb6,1.771117166212534e-05,0.0054495912806539,1468.0,2,private_ip,outlier,outlier,1068.0,1.0,8.0,E,0.9113229186244403,5
5588,28bae9ea-c0c5-30bc-83fb-65ca5019e92a,1.9765739385065887e-05,0.0058565153733528,1366.0,2,private_ip,outlier,outlier,1193.0,1.0,8.0,E,0.9070574750132301,5
6966,e7d0cdae-4a93-3f23-a73d-614a9827d962,1.730103806228374e-05,0.0062283737024221,1445.0,2,private_ip,outlier,outlier,1086.0,1.0,9.0,E,0.9047587712941725,5
15688,d0921e71-d3c7-3298-b075-7949908a33b8,2.1455938697318007e-05,0.0053639846743295,1305.0,2,private_ip,outlier,outlier,1141.0,1.0,7.0,E,0.9005700948522664,5
12841,fca53020-66d3-3325-8a23-13499f4bc1e1,1.0358565737051793e-05,0.0063745019920318,1255.0,1,private_ip,outlier,outlier,657.0,1.0,8.0,E,0.8990682571879054,5
16171,08d225f8-6723-3fa4-8e1c-0e7d0b3c0f38,1.902587519025875e-05,0.0060882800608828,1314.0,2,private_ip,outlier,outlier,1134.0,1.0,8.0,E,0.8960134121916752,5
15443,1a1c2722-61bc-370e-bf44-5e9c4c3a2770,1.86706497386109e-05,0.0074682598954443,1339.0,2,private_ip,outlier,outlier,1142.0,1.0,10.0,E,0.887493102743151,5
14418,34ebc2dc-5ae1-3727-9368-440eb349f73f,1.9984012789768184e-05,0.005595523581135,1251.0,2,private_ip,outlier,outlier,1060.0,1.0,7.0,E,0.8865763575686514,5
10531,ed75a55c-bfb0-3b22-a121-49ec0d6f8876,2.0202020202020203e-05,0.0062160062160062,1287.0,2,private_ip,outlier,outlier,1089.0,1.0,8.0,E,0.8853403054721616,5
15755,ad776986-2c00-384c-9208-b36b1b836256,1.9623875715453804e-05,0.0065412919051512,1223.0,2,private_ip,outlier,outlier,1051.0,1.0,8.0,E,0.8774508688356135,5
9907,dc576722-dad1-36d6-bfaf-36fb2bf45b57,2.155172413793104e-05,0.0060344827586206,1160.0,2,private_ip,outlier,outlier,989.0,1.0,7.0,E,0.8678530148752961,5
12891,926255c3-7355-3a89-8872-4d3e4d3407fa,1.1330049261083744e-05,0.0078817733990147,1015.0,1,private_ip,outlier,outlier,628.0,1.0,8.0,E,0.8653015122246865,5
12875,6c571a82-19c0-3b49-9934-b64cce582729,2.168473728106756e-05,0.006672226855713,1199.0,2,private_ip,outlier,outlier,1014.0,1.0,8.0,E,0.8652653420135596,5
662,af9660ad-6af0-39e4-87cf-6782b0a5f3b1,2.0526550647032576e-05,0.0151717983043284,2241.0,3,private_ip,outlier,outlier,111.0,1.0,34.0,E,0.8598106414929516,5
4375,c20b2bff-77e9-3f8d-a772-0d1171bb3941,1.5931372549019605e-05,0.0073529411764705,816.0,1,private_ip,outlier,outlier,623.0,1.0,6.0,E,0.8572656962389893,5
12379,ef4b0c9e-8a65-39ee-932a-5054f164aafd,2.220248667850799e-05,0.0062166962699822,1126.0,2,private_ip,outlier,outlier,933.0,1.0,7.0,E,0.854971001272034,5
10287,2a6237a8-0394-31d4-b176-f00370bde4e0,1.802656546489564e-05,0.0066413662239089,1054.0,2,private_ip,outlier,outlier,863.0,1.0,7.0,E,0.8509589199969776,5
15466,6aaf0c5c-716a-353b-97db-f27bd003ebb4,1.5819209039548023e-05,0.0090395480225988,885.0,1,private_ip,outlier,outlier,681.0,1.0,8.0,E,0.847324965364112,5
