Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,behavior,behavior_type,num_sessions,num_users,num_unique_apis,source,score_pca,anomaly_vote_count
1360,79090920-d7b0-3553-8ba9-817dda4df452,1.4861052631578948,0.631578947368421,19.0,1695,google_bot,outlier,outlier,1.0,1.0,12.0,E,1.0000000000000002,3
20732,fe144363-a97e-364c-93f2-4f7fe4b0e352,418.547963963964,0.063063063063063,111.0,2787530,default,outlier,outlier,1.0,1.0,7.0,F,0.18163390145263505,4
28483,483d875f-f40d-35be-a6ed-62c95fd9b5e8,258.36519540229887,0.0114942528735632,174.0,2697333,default,outlier,outlier,1.0,1.0,2.0,F,0.17437327164924085,4
4826,e628eb43-7c1c-33be-9b94-649f56da33e1,2333.6273333333334,1.0,3.0,420053,default,outlier,outlier,1.0,1.0,3.0,E,0.15597797507959407,4
14073,7f4bfde3-6e6e-3d32-ae9b-477afd4b1b7a,2103.6923333333334,1.0,3.0,378665,default,outlier,outlier,1.0,1.0,3.0,E,0.13974866678441686,4
24944,b29699de-b481-3d6c-aad5-0cf1a8b41ba5,354.13027450980394,0.0196078431372549,102.0,2167278,default,outlier,outlier,1.0,1.0,2.0,F,0.13946521234735124,4
34333,eb0d9697-da49-3ffb-9f8d-ce0fab981a23,840.8206153846154,0.0256410256410256,39.0,1967521,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.13806710219440999,5
2135,9c2049c6-7b37-3601-b78c-5b268c83e779,1.5832805573147563e-05,0.0044331855604813,1579.0,2,private_ip,outlier,outlier,1364.0,1.0,7.0,E,0.12347573529499188,5
23169,7270b95c-b116-34c9-833c-5504536c1ef7,632.3497021276596,0.0212765957446808,47.0,1783227,default,outlier,outlier,1.0,1.0,1.0,F,0.11898126612245095,4
25101,d89a631c-2704-3de2-b1ea-b298df1c1372,154.07152,0.01,200.0,1848859,default,outlier,outlier,1.0,1.0,2.0,F,0.11655197319398151,4
23591,c3367779-e611-3b81-9313-88921cc31708,848.9697419354839,0.032258064516129,31.0,1579084,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.11509367399776513,5
109,5b2680f7-cd8a-3848-ba2b-b3dab4a1c66d,4e-05,0.0278787878787878,3.767123287671233,2,default,BingPreview/1.0b,bot,631.0,219.0,23.0,E,0.11487824633945008,4
12336,73beabe6-034c-36b0-8518-6693d97bc272,2.462380300957592e-05,0.0287277701778385,162.44444444444446,3,default,bingbot/2.0,bot,1462.0,9.0,42.0,E,0.11398024196028861,4
12822,b8f464ca-c671-376f-bfc3-9766a0b43fa9,3.295310519645121e-05,0.0291508238276299,3.602739726027397,2,default,BingPreview/1.0b,bot,600.0,219.0,23.0,E,0.11381302081395016,4
30784,7aaa757e-6372-35ef-897f-08724d737533,579.3909583333334,0.0208333333333333,48.0,1668646,datacenter,outlier,outlier,1.0,1.0,1.0,F,0.11306648874452303,5
17705,1b414fac-ce1e-37ac-b07f-9e2486db8db4,1.990049751243781e-05,0.005685856432125,1407.0,2,private_ip,outlier,outlier,1228.0,1.0,8.0,E,0.11116187271731703,5
